sqft,bedrooms,bathrooms,age_years,garage,neighbourhood,distance_cbd,price_usd
1756.8,2,1,6,1,A,15.83,263458.51
2644.1,5,3,22,1,B,8.23,348105.25
1645.7,5,2,28,1,B,2.38,244356.76
2396.7,2,1,20,1,C,8.87,250085.09
1149.7,5,2,6,1,A,4.18,217171.05
1685.4,3,2,30,0,A,2.95,269980.01
1585.6,1,1,29,0,A,7.62,224423.36
2415.1,4,3,57,1,C,4.58,249098.36
1874.1,1,1,57,1,B,1.09,218788.59
964.8,5,4,36,1,B,18.38,146339.06
1275.9,3,2,51,1,B,5.08,164587.03
1394.9,5,2,18,1,B,1.97,195914.21
2173.6,3,2,58,0,A,2.33,312427.36
2122.0,1,1,56,1,A,4.75,298883.66
1679.8,4,2,7,0,A,23.47,239176.3
1580.6,4,3,42,1,A,7.08,250997.69
2086.6,2,1,27,1,B,1.0,268188.62
1348.2,2,1,15,1,B,1.0,198051.96
1983.1,5,3,24,1,B,11.99,271393.88
1949.0,4,3,54,1,B,2.53,248531.58
1690.2,2,1,55,0,B,13.37,181948.23
1959.1,4,2,20,1,C,2.07,220224.31
1840.8,2,1,27,1,B,11.89,230523.64
1999.0,1,1,30,1,B,2.94,233039.35
1266.4,4,2,44,0,A,5.56,191800.24
2045.8,5,2,28,1,B,5.52,290547.72
2210.6,5,2,23,1,B,5.44,307016.43
1928.4,3,1,55,1,A,8.76,264640.67
2040.5,1,1,22,1,A,1.0,287962.0
1756.0,3,2,15,1,B,2.94,261579.42
2156.5,4,3,19,1,B,1.0,311764.35
1826.1,5,4,19,0,B,19.0,243290.17
1340.8,1,1,33,1,B,4.83,172032.33
2128.1,4,3,39,1,B,11.1,281630.81
1146.3,3,2,8,1,B,1.48,176387.14
1913.1,3,2,53,1,A,1.0,304985.78
1646.3,1,1,15,0,B,5.38,206621.08
1620.7,1,1,6,1,B,5.34,209634.05
1868.8,4,3,40,1,C,3.62,226228.57
1516.3,1,1,12,1,B,6.63,175699.52
2004.9,4,3,45,0,B,2.26,244500.23
1822.7,1,1,56,1,C,19.22,154107.89
1553.1,5,3,41,1,C,1.83,177572.69
2335.3,2,2,46,1,A,8.47,357992.35
1881.9,3,2,29,1,C,20.85,188282.58
2052.3,2,1,20,1,A,2.73,336052.29
2366.6,3,2,36,1,C,8.47,247282.02
2360.1,3,2,21,0,A,2.02,353982.12
2031.9,4,3,52,1,B,14.15,234943.66
1678.9,4,3,28,1,C,1.3,212455.23
1228.1,5,4,29,1,A,6.44,218989.77
1882.7,1,1,40,1,C,11.84,184041.62
2237.8,5,3,11,1,B,3.93,331866.87
1941.7,4,2,33,0,A,10.16,285063.33
600.0,2,1,45,1,C,27.9,50000.0
2148.0,5,4,46,1,B,1.98,310460.37
2172.6,4,2,13,1,C,12.38,227145.14
1679.5,1,1,3,1,C,28.58,150962.38
2195.3,1,1,11,1,A,5.13,344723.66
2051.2,4,3,49,0,A,1.0,321527.4
1525.8,4,3,15,0,B,4.13,208340.76
2308.5,1,1,3,1,B,1.0,314581.99
1293.0,4,2,35,1,A,13.26,181532.38
1777.1,3,2,52,1,B,9.65,221384.03
1737.2,5,4,13,1,C,3.45,223439.46
1469.8,4,2,2,0,A,1.35,249330.2
1921.5,5,2,8,1,B,22.62,256073.65
2324.1,1,1,7,1,B,3.04,297048.54
2299.1,4,3,12,1,A,13.64,360066.26
2089.5,2,1,10,1,A,10.44,322665.5
1121.6,3,1,38,1,A,16.09,142040.81
1265.6,5,3,13,1,B,6.65,210775.31
1866.5,5,4,32,0,A,10.3,277025.01
1786.3,2,1,24,1,C,3.55,187865.53
1600.8,2,1,39,1,C,8.6,153556.67
2562.1,4,2,39,1,A,21.45,357080.77
1842.3,5,3,35,1,C,3.76,216746.21
2017.0,4,3,53,1,C,1.0,219632.95
2195.2,1,1,11,1,A,1.0,351249.64
1822.0,1,1,31,1,C,17.33,162783.47
2836.4,4,3,23,1,A,27.43,407740.61
1423.9,4,2,31,0,B,14.87,170545.45
1557.6,5,4,8,1,A,3.7,295880.21
1422.9,3,1,19,1,C,3.83,155048.28
2425.1,3,2,56,1,C,4.03,245636.15
2120.8,1,1,48,1,C,16.41,178815.97
1582.3,4,3,25,0,C,11.74,171827.45
1454.4,5,4,6,1,A,6.54,281090.41
2354.0,1,1,38,0,B,2.31,275612.27
1944.7,3,2,18,1,A,2.0,309204.92
2364.2,2,1,19,1,A,14.93,345851.48
1775.9,4,2,5,0,A,1.14,294597.98
2004.6,4,2,17,1,C,3.09,215876.92
1920.1,2,1,12,1,B,5.23,266410.11
1550.4,5,3,2,1,A,4.84,301414.94
1742.3,1,1,35,0,C,15.06,149339.01
1326.3,4,2,58,1,C,1.0,152667.71
1997.6,4,2,7,1,B,16.26,259774.08
2104.5,1,1,3,0,B,3.15,254944.3
2196.1,4,3,6,1,B,9.28,311766.18
2066.6,2,1,32,0,B,13.53,237266.51
1748.7,2,1,49,1,B,1.06,218542.06
2420.8,1,1,18,1,B,1.2,327824.31
2156.9,4,2,7,1,A,20.29,324126.2
2355.4,5,4,5,1,B,6.98,327253.78
2380.5,3,2,36,1,B,5.78,287889.64
1749.8,4,3,21,1,A,1.82,292518.12
1955.2,2,1,21,1,A,1.38,304691.04
2109.8,3,2,14,0,B,4.15,269557.63
1340.3,4,3,53,1,B,14.57,174030.16
1349.2,3,2,22,1,B,10.81,177995.45
1280.3,4,2,42,0,A,1.49,214416.21
1756.8,1,1,44,1,C,7.97,161150.67
1666.7,3,2,3,0,A,1.0,276736.15
1225.7,5,4,14,1,B,14.91,179489.48
1859.7,4,3,53,1,A,5.71,310920.47
1761.8,2,1,52,1,B,1.19,203708.4
2272.9,3,2,24,1,B,7.07,298630.11
2605.2,4,3,9,1,B,3.94,360424.69
1982.6,5,4,17,1,C,6.43,241061.54
1521.3,5,4,56,1,B,17.4,194550.94
2058.7,5,4,40,1,B,14.08,273959.44
1803.7,4,3,4,0,B,13.62,231547.17
1703.9,2,2,43,0,C,15.42,156445.55
1455.4,2,1,8,0,C,3.64,147521.6
1614.3,3,2,18,1,B,31.92,189568.22
1728.9,3,2,28,1,B,4.43,236337.35
2121.6,5,3,21,1,C,39.66,188038.62
2004.4,5,2,41,1,C,3.52,220936.23
2530.2,5,3,9,0,A,1.89,426070.33
2069.7,4,3,52,1,C,5.81,212319.44
1969.7,1,1,35,1,B,1.0,246323.58
1677.5,1,1,18,1,B,6.89,206595.23
1385.0,2,1,57,0,B,15.33,131298.71
1572.0,4,2,28,1,B,1.0,233145.42
1520.1,2,1,24,1,C,14.94,145240.11
775.6,4,3,1,1,B,6.75,142021.71
1396.5,5,2,59,1,A,3.7,250514.3
2440.9,2,1,50,1,B,21.35,265434.61
1947.4,5,3,10,1,A,1.0,382091.24
1649.4,3,2,56,1,B,7.75,203932.41
1959.4,5,3,47,1,B,5.08,281057.59
1018.6,1,1,25,1,B,7.97,114543.11
1912.8,2,1,55,1,A,16.58,259866.26
2311.0,5,2,33,0,A,10.47,340813.56
1751.6,5,3,41,1,A,1.84,311771.38
1091.2,3,2,10,1,B,1.9,168494.21
1634.4,1,1,6,1,C,8.8,167343.31
2311.7,1,1,31,1,B,7.89,271770.06
1903.5,3,2,19,0,B,1.81,241398.03
1232.7,5,4,58,1,B,20.61,149983.99
2747.1,2,1,5,0,A,17.94,390123.92
1298.5,5,4,45,1,C,1.0,169726.52
1702.8,3,1,36,1,B,1.81,213829.09
1385.0,1,1,52,1,A,3.39,204661.09
1385.6,3,2,59,1,B,4.96,166933.4
1619.1,2,1,52,1,B,3.24,205251.65
